method,nbins_ts,model,alpha,bins_T,Ts,p_threshold,cal_cov,cal_avg_size,cal_std_size,test_cov,test_avg_size,test_std_size
tempscale_global_cp,1,resnet50,0.01,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.0009596442509220982,0.991421568627451,12.372549019607844,7.360861747062078,0.9926650366748166,12.28606356968215,7.177377282212188
tempscale_global_cp,1,resnet50,0.02,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.004332496992579871,0.9816176470588235,8.575980392156863,6.0943650861707575,0.9853300733496333,8.21760391198044,5.773989661053306
tempscale_global_cp,1,resnet50,0.03,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.007829566609610983,0.9718137254901961,7.0245098039215685,5.201751897094237,0.9706601466992665,6.699266503667482,4.957523678892045
tempscale_global_cp,1,resnet50,0.04,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.015399827370777608,0.9607843137254902,5.3504901960784315,4.00608602627351,0.9535452322738386,5.097799511002445,3.8295237147149974
tempscale_global_cp,1,resnet50,0.05,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.020572501594175008,0.9509803921568627,4.643382352941177,3.44267200303382,0.9437652811735942,4.555012224938875,3.4218527648912405
tempscale_global_cp,1,resnet50,0.06,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.025492245120935397,0.9399509803921569,4.215686274509804,3.0502409129553216,0.9339853300733496,4.10757946210269,3.0429952846439776
tempscale_global_cp,1,resnet50,0.07,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.03460743868704774,0.9313725490196079,3.6801470588235294,2.569027048976656,0.9168704156479217,3.555012224938875,2.494498702616753
tempscale_global_cp,1,resnet50,0.08,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.038676134986829536,0.9215686274509803,3.457107843137255,2.370803509885943,0.9168704156479217,3.359413202933985,2.329866812131258
tempscale_global_cp,1,resnet50,0.09,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.04560140908594179,0.9117647058823529,3.1911764705882355,2.11210808830923,0.9095354523227384,3.063569682151589,2.0293369075301917
tempscale_global_cp,1,resnet50,0.1,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.048553408723300606,0.9019607843137255,3.096813725490196,2.0368395464176423,0.8997555012224939,2.946210268948655,1.898923016033995
tempscale_global_cp,1,convnext_tiny,0.01,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.005014764381529813,0.9901960784313726,9.509803921568627,5.299593210506573,0.9828850855745721,9.308068459657703,5.1947837703547535
tempscale_global_cp,1,convnext_tiny,0.02,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.01077609119809575,0.9816176470588235,6.702205882352941,4.087977955118401,0.9706601466992665,6.65281173594132,4.058466132772912
tempscale_global_cp,1,convnext_tiny,0.03,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.01324816903686743,0.9705882352941176,6.057598039215686,3.750538015679214,0.9682151589242054,6.029339853300733,3.7041072563643893
tempscale_global_cp,1,convnext_tiny,0.04,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.015884838367119514,0.9620098039215687,5.547794117647059,3.5195769070544944,0.9633251833740831,5.50122249388753,3.397917307159062
tempscale_global_cp,1,convnext_tiny,0.05,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.021165221381529875,0.9509803921568627,4.757352941176471,3.0833908080930197,0.9584352078239609,4.82640586797066,2.9851608617834167
tempscale_global_cp,1,convnext_tiny,0.06,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.028098591394671857,0.9399509803921569,4.095588235294118,2.5944284472123584,0.9535452322738386,4.15158924205379,2.52546999522932
tempscale_global_cp,1,convnext_tiny,0.07,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.029686039359347216,0.9301470588235294,3.9411764705882355,2.5110482515872348,0.9511002444987775,4.0244498777506115,2.4353526532673393
tempscale_global_cp,1,convnext_tiny,0.08,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.03341902501367222,0.9203431372549019,3.667892156862745,2.3444236024203353,0.9462102689486552,3.762836185819071,2.2366119537918556
tempscale_global_cp,1,convnext_tiny,0.09,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.040267243321449375,0.9105392156862745,3.343137254901961,2.082820005962955,0.9266503667481663,3.359413202933985,1.9816803143754391
tempscale_global_cp,1,convnext_tiny,0.1,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.043660534192221934,0.9019607843137255,3.178921568627451,1.9684638217091852,0.9193154034229829,3.215158924205379,1.9055099713795034
tempscale_global_cp,1,densenet121,0.01,"[(0.02973080240190029, 0.6742244362831116)]",[1.4],0.0009445210000323945,0.991421568627451,12.117647058823529,6.860542363581129,0.9755501222493888,11.995110024449877,6.856187792896597
tempscale_global_cp,1,densenet121,0.02,"[(0.02973080240190029, 0.6742244362831116)]",[1.4],0.0020179859834598135,0.9803921568627451,9.947303921568627,6.357481125459427,0.9755501222493888,9.755501222493887,6.311310552151219
tempscale_global_cp,1,densenet121,0.03,"[(0.02973080240190029, 0.6742244362831116)]",[1.4],0.003250480619418905,0.9705882352941176,8.594362745098039,5.855985507203109,0.960880195599022,8.41075794621027,5.929288429795624
tempscale_global_cp,1,densenet121,0.04,"[(0.02973080240190029, 0.6742244362831116)]",[1.4],0.004672838287472225,0.9620098039215687,7.525735294117647,5.27520322520239,0.9511002444987775,7.43520782396088,5.419455355517954
tempscale_global_cp,1,densenet121,0.05,"[(0.02973080240190029, 0.6742244362831116)]",[1.4],0.006840778091144362,0.9509803921568627,6.613970588235294,4.793454577175909,0.9486552567237164,6.408312958435208,4.756365374875928
tempscale_global_cp,1,densenet121,0.06,"[(0.02973080240190029, 0.6742244362831116)]",[1.4],0.010581178085692922,0.9411764705882353,5.517156862745098,4.0529219373553245,0.9242053789731052,5.3178484107579465,4.036108327558668
tempscale_global_cp,1,densenet121,0.07,"[(0.02973080240190029, 0.6742244362831116)]",[1.4],0.01261512803501108,0.9301470588235294,5.129901960784314,3.7665045935367463,0.9168704156479217,4.963325183374083,3.7988705945334957
tempscale_global_cp,1,densenet121,0.08,"[(0.02973080240190029, 0.6742244362831116)]",[1.4],0.01576803967549434,0.9203431372549019,4.660539215686274,3.396756195316778,0.9070904645476773,4.4645476772616135,3.4399266287309187
tempscale_global_cp,1,densenet121,0.09,"[(0.02973080240190029, 0.6742244362831116)]",[1.4],0.01980729009810167,0.9105392156862745,4.21078431372549,3.0389112750775,0.8875305623471883,4.06356968215159,3.130552646659413
tempscale_global_cp,1,densenet121,0.1,"[(0.02973080240190029, 0.6742244362831116)]",[1.4],0.022588573069372453,0.9019607843137255,3.9620098039215685,2.8568421274337776,0.8850855745721271,3.860635696821516,3.0008377944751006
tempscale_global_cp,1,efficientnet_b0,0.01,"[(0.02973080240190029, 0.6742244362831116)]",[1.8],0.0011008296453490773,0.991421568627451,10.814950980392156,6.347673805631093,0.9926650366748166,10.61124694376528,6.0461121829040545
tempscale_global_cp,1,efficientnet_b0,0.02,"[(0.02973080240190029, 0.6742244362831116)]",[1.8],0.003632854720730494,0.9803921568627451,7.582107843137255,5.004226005081953,0.980440097799511,7.278728606356968,4.735607442098732
tempscale_global_cp,1,efficientnet_b0,0.03,"[(0.02973080240190029, 0.6742244362831116)]",[1.8],0.006871214551758986,0.9705882352941176,6.057598039215686,4.124337869044602,0.9682151589242054,5.809290953545232,3.9182117242225476
tempscale_global_cp,1,efficientnet_b0,0.04,"[(0.02973080240190029, 0.6742244362831116)]",[1.8],0.011157420057628542,0.9620098039215687,4.944852941176471,3.3905358443330216,0.9633251833740831,4.7799511002444985,3.3082085058821806
tempscale_global_cp,1,efficientnet_b0,0.05,"[(0.02973080240190029, 0.6742244362831116)]",[1.8],0.01592503425126557,0.9509803921568627,4.314950980392157,2.9869113166084045,0.9535452322738386,4.188264058679707,2.8986564915397244
tempscale_global_cp,1,efficientnet_b0,0.06,"[(0.02973080240190029, 0.6742244362831116)]",[1.8],0.022710268561417335,0.9411764705882353,3.7279411764705883,2.5766682539002645,0.9315403422982885,3.60880195599022,2.4291467270245874
tempscale_global_cp,1,efficientnet_b0,0.07,"[(0.02973080240190029, 0.6742244362831116)]",[1.8],0.02829199783521341,0.9313725490196079,3.3933823529411766,2.273764549454329,0.9193154034229829,3.2860635696821516,2.1641277244411516
tempscale_global_cp,1,efficientnet_b0,0.08,"[(0.02973080240190029, 0.6742244362831116)]",[1.8],0.03177541622895952,0.9203431372549019,3.232843137254902,2.1698015981637764,0.9046454767726161,3.1124694376528117,2.072539284368758
tempscale_global_cp,1,efficientnet_b0,0.09,"[(0.02973080240190029, 0.6742244362831116)]",[1.8],0.03844385405382189,0.9105392156862745,2.935049019607843,1.9426702356951633,0.8997555012224939,2.838630806845966,1.873342549092184
tempscale_global_cp,1,efficientnet_b0,0.1,"[(0.02973080240190029, 0.6742244362831116)]",[1.8],0.04943634958059451,0.9019607843137255,2.616421568627451,1.7024132060814956,0.8850855745721271,2.5354523227383865,1.6096712152862183
tempscale_global_cp,1,mobilenet_v3_large,0.01,"[(0.02973080240190029, 0.6742244362831116)]",[2.3],0.004866731136535574,0.991421568627451,9.778186274509803,5.4824644383929195,0.9853300733496333,9.74083129584352,5.372329749495006
tempscale_global_cp,1,mobilenet_v3_large,0.02,"[(0.02973080240190029, 0.6742244362831116)]",[2.3],0.007809474211472489,0.9803921568627451,8.305147058823529,4.8283043118048505,0.980440097799511,8.227383863080684,4.827046179437204
tempscale_global_cp,1,mobilenet_v3_large,0.03,"[(0.02973080240190029, 0.6742244362831116)]",[2.3],0.012771549428131745,0.9718137254901961,6.8125,4.052098297517608,0.9633251833740831,6.667481662591687,4.103423791422345
tempscale_global_cp,1,mobilenet_v3_large,0.04,"[(0.02973080240190029, 0.6742244362831116)]",[2.3],0.016516102111651776,0.9607843137254902,6.0625,3.6288962326921195,0.9535452322738386,5.93643031784841,3.6538311568674064
tempscale_global_cp,1,mobilenet_v3_large,0.05,"[(0.02973080240190029, 0.6742244362831116)]",[2.3],0.019207238894823786,0.9522058823529411,5.611519607843137,3.3544402304139287,0.9486552567237164,5.569682151589242,3.3711939722786477
tempscale_global_cp,1,mobilenet_v3_large,0.06,"[(0.02973080240190029, 0.6742244362831116)]",[2.3],0.023387991673840758,0.9411764705882353,5.090686274509804,3.0520985258310778,0.9437652811735942,5.017114914425428,2.9745785983312696
tempscale_global_cp,1,mobilenet_v3_large,0.07,"[(0.02973080240190029, 0.6742244362831116)]",[2.3],0.02696849838598847,0.9301470588235294,4.7254901960784315,2.850548150743608,0.9437652811735942,4.677261613691932,2.795997196923006
tempscale_global_cp,1,mobilenet_v3_large,0.08,"[(0.02973080240190029, 0.6742244362831116)]",[2.3],0.03149316850319217,0.9203431372549019,4.317401960784314,2.5698079418577904,0.9315403422982885,4.276283618581907,2.525072296091657
tempscale_global_cp,1,mobilenet_v3_large,0.09,"[(0.02973080240190029, 0.6742244362831116)]",[2.3],0.03534599954016693,0.9117647058823529,4.078431372549019,2.419027006268218,0.921760391198044,4.002444987775061,2.3239991431032854
tempscale_global_cp,1,mobilenet_v3_large,0.1,"[(0.02973080240190029, 0.6742244362831116)]",[2.3],0.03967020143035571,0.9019607843137255,3.838235294117647,2.2602292143717246,0.9193154034229829,3.7897310513447433,2.19574876559297
tempscale_global_cp,2,resnet50,0.01,"[(0.02973080240190029, 0.1468987613916397), (0.1468987613916397, 0.6742244362831116)]","[2.0, 1.9000000000000001]",0.001241418880119971,0.991421568627451,12.082107843137255,7.218703475744298,0.9926650366748166,12.06845965770171,7.019721281461209
tempscale_global_cp,2,resnet50,0.02,"[(0.02973080240190029, 0.1468987613916397), (0.1468987613916397, 0.6742244362831116)]","[2.0, 1.9000000000000001]",0.005648368848639951,0.9816176470588235,8.10049019607843,5.760727397808775,0.9828850855745721,7.71638141809291,5.437149279249016
