method,nbins_ts,model,alpha,p_threshold,cal_cov,cal_avg_size,cal_std_size,test_cov,test_avg_size,test_std_size,bins_T,Ts,cal_score,test_score
tempscale_global_cp,1.0,resnet50,0.01,0.000959644250922,0.991421568627451,12.372549019607844,7.360861747062078,0.9926650366748166,12.28606356968215,7.177377282212188,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.73724376114082,0.7398310735719049
tempscale_global_cp,1.0,resnet50,0.02,0.0043324969925798,0.9816176470588236,8.575980392156863,6.0943650861707575,0.9853300733496332,8.21760391198044,5.773989661053306,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.8186274509803921,0.8286285841298067
tempscale_global_cp,1.0,resnet50,0.03,0.0078295666096109,0.971813725490196,7.0245098039215685,5.201751897094237,0.9706601466992664,6.699266503667482,4.957523678892045,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.8489861853832441,0.8558012891753722
tempscale_global_cp,1.0,resnet50,0.04,0.0153998273707776,0.9607843137254902,5.350490196078432,4.00608602627351,0.9535452322738386,5.097799511002445,3.829523714714997,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.8815173796791445,0.8836408090686818
tempscale_global_cp,1.0,resnet50,0.05,0.020572501594175,0.9509803921568628,4.643382352941177,3.44267200303382,0.9437652811735942,4.555012224938875,3.4218527648912405,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.8926860516934046,0.8910869082018227
tempscale_global_cp,1.0,resnet50,0.06,0.0254922451209353,0.9399509803921569,4.215686274509804,3.0502409129553216,0.9339853300733496,4.10757946210269,3.0429952846439776,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.8968917112299466,0.8963658590797954
tempscale_global_cp,1.0,resnet50,0.07,0.0346074386870477,0.931372549019608,3.6801470588235294,2.569027048976656,0.9168704156479216,3.555012224938875,2.494498702616753,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.9047738413547237,0.9003667481662592
tempscale_global_cp,1.0,resnet50,0.08,0.0386761349868295,0.9215686274509804,3.457107843137255,2.370803509885943,0.9168704156479216,3.359413202933985,2.329866812131258,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.904940953654189,0.904812180484552
tempscale_global_cp,1.0,resnet50,0.09,0.0456014090859417,0.9117647058823528,3.1911764705882355,2.11210808830923,0.9095354523227384,3.063569682151589,2.029336907530192,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.9060828877005347,0.9078684152033785
tempscale_global_cp,1.0,resnet50,0.1,0.0485534087233006,0.9019607843137256,3.096813725490196,2.0368395464176423,0.8997555012224939,2.946210268948655,1.898923016033995,"[(0.02973080240190029, 0.6742244362831116)]",[1.9000000000000001],0.9033255347593583,0.9056456990442321
tempscale_global_cp,1.0,convnext_tiny,0.01,0.0050147643815298,0.9901960784313726,9.509803921568627,5.299593210506573,0.982885085574572,9.308068459657704,5.1947837703547535,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.8016934046345812,0.8026228050677927
tempscale_global_cp,1.0,convnext_tiny,0.02,0.0107760911980957,0.9816176470588236,6.702205882352941,4.087977955118401,0.9706601466992664,6.65281173594132,4.058466132772912,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.8612132352941176,0.8568570793509669
tempscale_global_cp,1.0,convnext_tiny,0.03,0.0132481690368674,0.9705882352941176,6.057598039215686,3.750538015679214,0.9682151589242054,6.029339853300733,3.704107256364389,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.8703487076648841,0.869804400977995
tempscale_global_cp,1.0,convnext_tiny,0.04,0.0158848383671195,0.9620098039215688,5.547794117647059,3.5195769070544944,0.9633251833740832,5.50122249388753,3.397917307159062,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.877645944741533,0.879362080462325
tempscale_global_cp,1.0,convnext_tiny,0.05,0.0211652213815298,0.9509803921568628,4.757352941176471,3.08339080809302,0.9584352078239609,4.82640586797066,2.9851608617834167,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.8900958110516934,0.8922538341853745
tempscale_global_cp,1.0,convnext_tiny,0.06,0.0280985913946718,0.9399509803921569,4.095588235294118,2.5944284472123584,0.9535452322738386,4.15158924205379,2.52546999522932,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.8996212121212122,0.905145587908424
tempscale_global_cp,1.0,convnext_tiny,0.07,0.0296860393593472,0.9301470588235294,3.941176470588236,2.5110482515872348,0.9511002444987776,4.024449877750612,2.4353526532673397,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.8982286096256684,0.9068126250277839
tempscale_global_cp,1.0,convnext_tiny,0.08,0.0334190250136722,0.920343137254902,3.667892156862745,2.3444236024203358,0.9462102689486552,3.762836185819071,2.236611953791856,"[(0.02973080240190029, 0.6742244362831116)]",[2.1],0.8995376559714796,0.9103134029784397
