nbins_ts,impr_mean,impr_std,n
1,0.005635696821515858,0.0058155749225978276,50
2,0.004976661480328942,0.007961917915114832,50
3,0.006210268948655214,0.006738751921015422,50
4,0.004802178261835939,0.009679531170115312,50
5,0.004649922204934396,0.012322154113346672,50
