model,impr_mean,impr_std,impr_min,impr_max,n,waves_cov_mean,waves_cov_std,waves_cov_min,waves_cov_max,waves_size_mean,waves_size_std,waves_size_min,waves_size_max,global_cov_mean,global_cov_std,global_cov_min,global_cov_max,global_size_mean,global_size_std,global_size_min,global_size_max
convnext_tiny,0.007936208046232428,0.005783135376117577,-0.0031673705267837,0.0205601244721049,50,0.9538386308068459,0.018565617539937268,0.9144254278728606,0.9877750611246944,5.072420537897311,1.7649128382362103,3.1442542787286065,9.308068459657704,0.952322738386308,0.018049905941605635,0.9266503667481664,0.982885085574572,5.388264058679707,1.970495590196593,3.4621026894865525,9.816625916870416
densenet121,0.00361858190709044,0.01024652051344132,-0.0567903978661925,0.0206156923760836,50,0.9326650366748166,0.033331318250815,0.8777506112469438,0.9902200488997556,6.736430317848411,2.8062593021171436,3.750611246943765,14.85085574572127,0.9330073349633252,0.03720882617065386,0.8753056234718827,0.9755501222493888,6.903178484107579,2.831653630869547,3.843520782396088,12.029339853300732
efficientnet_b0,0.0008513002889531215,0.004333634064708132,-0.0129473216270281,0.0121138030673483,50,0.9387286063569682,0.036497784726067045,0.8777506112469438,0.9926650366748166,4.726552567237164,2.233447512251326,2.508557457212714,10.61124694376528,0.941075794621027,0.03608969074139677,0.882640586797066,0.9902200488997556,4.815647921760391,2.357479983803111,2.6185819070904643,9.987775061124694
mobilenet_v3_large,0.0025272282729495244,0.008090530420114985,-0.0334518781951544,0.0160035563458547,50,0.9506112469437653,0.021372069215198575,0.9193154034229828,0.9853300733496332,5.966797066014671,2.0614593660078704,3.7897310513447433,11.144254278728608,0.9496332518337407,0.024644700573797897,0.9144254278728606,0.982885085574572,6.056479217603912,2.017965278098724,3.757946210268949,9.67237163814181
resnet50,0.011341409202044836,0.009590163614617748,0.0029450989108691,0.043565236719271,50,0.9413691931540342,0.03057577670115832,0.8997555012224939,0.9926650366748166,5.286161369193154,2.6947060031067402,2.902200488997555,12.28606356968215,0.9396088019559903,0.03354478081533205,0.8948655256723717,0.9926650366748166,5.746454767726162,3.198760073013706,3.0513447432762835,13.17114914425428
