model,impr_mean,impr_std,n
convnext_tiny,0.007936208046232428,0.005783135376117577,50
densenet121,0.00361858190709044,0.01024652051344132,50
efficientnet_b0,0.0008513002889531215,0.004333634064708132,50
mobilenet_v3_large,0.0025272282729495244,0.008090530420114985,50
resnet50,0.011341409202044836,0.009590163614617748,50
