alpha,impr_mean,impr_std,impr_min,impr_max,n,waves_cov_mean,waves_cov_std,waves_cov_min,waves_cov_max,waves_size_mean,waves_size_std,waves_size_min,waves_size_max,global_cov_mean,global_cov_std,global_cov_min,global_cov_max,global_size_mean,global_size_std,global_size_min,global_size_max
0.01,0.005358968659702153,0.022012226943141987,-0.0567903978661925,0.043565236719271,25,0.9863080684596577,0.00518660230699185,0.9755501222493888,0.9926650366748166,10.731931540342298,1.4745159709454343,8.9119804400978,14.85085574572127,0.984841075794621,0.006784565733746543,0.9755501222493888,0.9926650366748166,10.935452322738387,1.5764015780967802,9.67237163814181,13.17114914425428
0.02,0.009826628139586575,0.010199141249215025,-0.0031673705267837,0.0305067792842852,25,0.9763325183374083,0.00497681650880915,0.9682151589242054,0.9853300733496332,8.0880195599022,1.1534495984359168,6.65281173594132,10.547677261613693,0.9770171149144253,0.0044415408617567,0.9706601466992664,0.982885085574572,8.535452322738386,1.3649821727920473,7.083129584352078,10.496332518337407
0.03,0.003640809068681928,0.004783363800355379,-0.0091131362525005,0.012836185819071,25,0.967237163814181,0.004889975550122175,0.9584352078239609,0.9755501222493888,6.875012224938875,1.0048801400280518,5.647921760391198,8.814180929095354,0.9682151589242054,0.0038658651102302095,0.9633251833740832,0.9731051344743276,7.056723716381418,1.1933323847623487,5.7799511002444985,8.853300733496333
0.04,0.008428539675483437,0.006582954260363192,-0.0091687041564791,0.0170037786174706,25,0.9586308068459658,0.005901831129659879,0.9486552567237164,0.9682151589242054,5.7977506112469435,1.0026461125686854,4.777506112469438,7.43520782396088,0.9594132029339854,0.007654022416869712,0.9462102689486552,0.9657701711491442,6.185819070904645,1.1200179166724529,5.154034229828851,7.938875305623472
0.05,0.0074438764169815,0.005256174470031909,-0.0033896421426983,0.0172260502333851,25,0.9496332518337408,0.008644337178319642,0.9339853300733496,0.960880195599022,5.090073349633252,0.7648985375965855,4.168704156479218,6.408312958435208,0.9496332518337407,0.005070034560715814,0.9437652811735942,0.9559902200488998,5.41760391198044,0.9221565627004338,4.271393643031785,6.726161369193154
0.06,0.003971993776394752,0.0036519825121580046,-0.002111580351189,0.0109468770837963,25,0.9368215158924206,0.010743117883151786,0.9242053789731052,0.9559902200488998,4.448997555012225,0.6727326881250749,3.574572127139364,5.618581907090465,0.938875305623472,0.01107015298060811,0.9242053789731052,0.9511002444987776,4.668948655256723,0.7237671792124226,3.689486552567237,5.471882640586797
0.07,0.0032140475661257984,0.003625483880674342,-0.0031118026228049,0.0087797288286285,25,0.928117359413203,0.0140808089186398,0.9119804400977995,0.9535452322738386,4.046356968215159,0.6056995542282727,3.21760391198044,4.963325183374083,0.9295843520782396,0.013324622585270122,0.9119804400977995,0.9437652811735942,4.2200488997555015,0.6365426007935713,3.4034229828850857,4.887530562347188
0.08,0.0034629917759501482,0.004096404926008456,-0.0052233829739942,0.0092242720604578,25,0.9197066014669926,0.016517697558977553,0.8997555012224939,0.9462102689486552,3.7613691931540343,0.5417896512553552,2.980440097799511,4.518337408312958,0.917359413202934,0.015012304579959723,0.902200488997555,0.938875305623472,3.862102689486553,0.6625366499756074,2.990220048899756,4.574572127139365
0.09,0.003911980440097756,0.0030455655812278164,-0.0018337408312958,0.0082796176928205,25,0.9101222493887531,0.017393242746638827,0.8875305623471883,0.9364303178484108,3.4750122249388755,0.535710677383349,2.706601466992665,4.100244498777506,0.9075794621026894,0.01540536332716215,0.8899755501222494,0.9290953545232272,3.59119804400978,0.5678359751349791,2.860635696821516,4.273838630806846
0.1,0.0032896199155366523,0.0024109149787454134,5.55679039786483e-05,0.0082796176928203,25,0.9015158924205379,0.017680716272676988,0.8777506112469438,0.9266503667481664,3.2622004889975553,0.5146526391543023,2.508557457212714,3.8753056234718826,0.8987775061124694,0.02149643485607167,0.8753056234718827,0.9266503667481664,3.3466992665036677,0.5115326971259572,2.6185819070904643,3.843520782396088
