model,alpha,splits,thresholds,bounds,val_cov,val_avg_size,val_std_size,test_cov,test_avg_size,test_std_size
resnet50,0.01,[302],"[0.008460992323234717, 0.0012610117124859377]","[[0.0055, 0.0634], [0.0634, 0.7323]]",0.9877450980392157,8.966911764705882,7.7233179698108225,0.9522058823529411,7.0870098039215685,7.012665564079708
resnet50,0.05,[],[0.009876285679638386],"[[0.0055, 0.7323]]",0.9497549019607843,4.386029411764706,3.6977405553690788,0.9056372549019608,3.6409313725490198,3.208787125818677
resnet50,0.1,[],[0.027678378857672215],"[[0.0055, 0.7323]]",0.8995098039215687,2.7144607843137254,2.101723546546783,0.8492647058823529,2.409313725490196,1.8099971616291912
convnext_tiny,0.01,[465],"[0.0031368720810859285, 0.0016265998710878193]","[[0.0055, 0.0799], [0.08, 0.7323]]",0.9889705882352942,6.230392156862745,5.701165845954294,0.9705882352941176,5.110294117647059,5.462446833031045
convnext_tiny,0.05,[374],"[0.015412301244214222, 0.008425349043682084]","[[0.0055, 0.0703], [0.0705, 0.7323]]",0.9485294117647058,3.189950980392157,2.8546396698455485,0.9215686274509803,2.8590686274509802,2.934495833906029
convnext_tiny,0.1,[],[0.04437345825135697],"[[0.0055, 0.7323]]",0.8995098039215687,1.8933823529411764,1.315315264855955,0.8627450980392157,1.7573529411764706,1.2277210087933357
densenet121,0.01,[407],"[0.003315559327602302, 0.003937540519982519]","[[0.0055, 0.073], [0.0731, 0.7323]]",0.9877450980392157,6.7879901960784315,5.33903520695269,0.9669117647058824,6.609068627450981,5.1490400890289765
densenet121,0.05,[],[0.011464267270639428],"[[0.0055, 0.7323]]",0.9497549019607843,3.8075980392156863,3.071611175096312,0.9325980392156863,3.6936274509803924,2.9875983171009595
densenet121,0.1,[412],"[0.07441224306821814, 0.021452517993748144]","[[0.0055, 0.0739], [0.0739, 0.7323]]",0.8982843137254902,2.417892156862745,1.9952451979981216,0.8848039215686274,2.383578431372549,1.9228183304940212
