alpha,impr_mean,impr_std,impr_min,impr_max,n
0.01,0.005358968659702153,0.022012226943141987,-0.0567903978661925,0.043565236719271,25
0.02,0.009826628139586575,0.010199141249215025,-0.0031673705267837,0.0305067792842852,25
0.03,0.003640809068681928,0.004783363800355379,-0.0091131362525005,0.012836185819071,25
0.04,0.008428539675483437,0.006582954260363192,-0.0091687041564791,0.0170037786174706,25
0.05,0.0074438764169815,0.005256174470031909,-0.0033896421426983,0.0172260502333851,25
0.06,0.003971993776394752,0.0036519825121580046,-0.002111580351189,0.0109468770837963,25
0.07,0.0032140475661257984,0.003625483880674342,-0.0031118026228049,0.0087797288286285,25
0.08,0.0034629917759501482,0.004096404926008456,-0.0052233829739942,0.0092242720604578,25
0.09,0.003911980440097756,0.0030455655812278164,-0.0018337408312958,0.0082796176928205,25
0.1,0.0032896199155366523,0.0024109149787454134,5.55679039786483e-05,0.0082796176928203,25
