method,nbins_ts,model,alpha,test_cov,test_avg_size,test_score,test_score_impr_vs_global,cal_cov,cal_avg_size,cal_score,p_threshold
global_cp,,convnext_tiny,0.01,0.982885085574572,9.816625916870416,0.7910646810402311,,0.991421568627451,10.028186274509803,0.7905247326203209,3.165208181599155e-05
tempscale_global_cp,1.0,convnext_tiny,0.01,0.982885085574572,9.308068459657704,0.8026228050677927,0.011558124027561623,0.9901960784313726,9.509803921568627,0.8016934046345812,0.0050147643815298
tempscale_global_cp,2.0,convnext_tiny,0.01,0.982885085574572,8.9119804400978,0.8116248055123361,0.02056012447210498,0.9901960784313726,9.14828431372549,0.8099097593582888,0.0056984110271358
tempscale_global_cp,3.0,convnext_tiny,0.01,0.982885085574572,9.058679706601469,0.8082907312736163,0.017226050233385193,0.9901960784313726,9.25122549019608,0.8075701871657754,0.0054026259117612
tempscale_global_cp,4.0,convnext_tiny,0.01,0.9877750611246944,9.30562347188264,0.8051233607468327,0.014058679706601573,0.9901960784313726,9.502450980392156,0.8018605169340464,0.0046049821295653
tempscale_global_cp,5.0,convnext_tiny,0.01,0.982885085574572,8.95843520782396,0.8105690153367414,0.01950433429651033,0.9901960784313726,9.143382352941176,0.8100211675579323,0.0054026259117612
global_cp,,convnext_tiny,0.02,0.9706601466992664,7.083129584352078,0.8470771282507223,,0.9803921568627452,7.232843137254902,0.8485405525846703,0.000188805614016
tempscale_global_cp,1.0,convnext_tiny,0.02,0.9706601466992664,6.65281173594132,0.8568570793509669,0.009779951100244544,0.9816176470588236,6.702205882352941,0.8612132352941176,0.0107760911980957
tempscale_global_cp,2.0,convnext_tiny,0.02,0.9682151589242054,7.163814180929095,0.844020893531896,-0.003056234718826323,0.9803921568627452,7.251225490196078,0.8481227718360071,0.0096530475927791
tempscale_global_cp,3.0,convnext_tiny,0.02,0.9706601466992664,6.665036674816626,0.8565792398310734,0.00950211158035108,0.9816176470588236,6.730392156862745,0.8605726381461676,0.0107760911980957
tempscale_global_cp,4.0,convnext_tiny,0.02,0.9706601466992664,7.222493887530562,0.8439097577239386,-0.0031673705267837304,0.9816176470588236,7.311274509803922,0.8473707664884136,0.0086153324177241
tempscale_global_cp,5.0,convnext_tiny,0.02,0.9682151589242054,6.809290953545232,0.852078239608802,0.0050011113580796795,0.9803921568627452,6.846813725490196,0.8573139483065955,0.0102385029284838
global_cp,,convnext_tiny,0.03,0.9633251833740832,6.205378973105135,0.8633585241164704,,0.9705882352941176,6.182598039215686,0.867507798573975,0.0003787370806094
tempscale_global_cp,1.0,convnext_tiny,0.03,0.9682151589242054,6.029339853300733,0.869804400977995,0.0064458768615246465,0.9705882352941176,6.057598039215686,0.8703487076648841,0.0132481690368674
tempscale_global_cp,2.0,convnext_tiny,0.03,0.9633251833740832,6.100244498777506,0.8657479439875528,0.002389419871082432,0.9705882352941176,6.115196078431373,0.8690396613190731,0.0134111510545649
tempscale_global_cp,3.0,convnext_tiny,0.03,0.9633251833740832,6.0464547677261615,0.8669704378750834,0.003611913758613028,0.9705882352941176,6.075980392156863,0.869930926916221,0.0132481690368674
tempscale_global_cp,4.0,convnext_tiny,0.03,0.9633251833740832,5.943765281173594,0.8693042898421872,0.005945765725716812,0.9705882352941176,5.992647058823529,0.8718248663101604,0.0131013212329504
tempscale_global_cp,5.0,convnext_tiny,0.03,0.9633251833740832,5.982885085574572,0.8684152033785286,0.005056679262058217,0.9705882352941176,6.007352941176471,0.8714906417112299,0.0132481690368674
global_cp,,convnext_tiny,0.04,0.960880195599022,5.880195599022005,0.8695265614581018,,0.9607843137254902,5.824754901960785,0.8707386363636365,0.0004860225017182
tempscale_global_cp,1.0,convnext_tiny,0.04,0.9633251833740832,5.50122249388753,0.879362080462325,0.009835519004223192,0.9620098039215688,5.547794117647059,0.877645944741533,0.0158848383671195
tempscale_global_cp,2.0,convnext_tiny,0.04,0.9633251833740832,5.210268948655257,0.8859746610357858,0.016448099577684006,0.9607843137254902,5.241421568627451,0.8839962121212122,0.0184059839041381
tempscale_global_cp,3.0,convnext_tiny,0.04,0.9633251833740832,5.185819070904645,0.8865303400755724,0.0170037786174706,0.9620098039215688,5.15686274509804,0.8865307486631017,0.0183480923765954
tempscale_global_cp,4.0,convnext_tiny,0.04,0.9633251833740832,5.332518337408313,0.8831962658368526,0.013669704378750813,0.9620098039215688,5.360294117647059,0.8819073083778968,0.0163759896240147
tempscale_global_cp,5.0,convnext_tiny,0.04,0.9633251833740832,5.405867970660147,0.8815292287174928,0.012002667259391031,0.9620098039215688,5.404411764705882,0.8809046345811051,0.0163759896240147
global_cp,,convnext_tiny,0.05,0.9559902200488998,5.308068459657702,0.8800844632140477,,0.9509803921568628,5.268382352941177,0.8784815062388591,0.000746788457036
tempscale_global_cp,1.0,convnext_tiny,0.05,0.9584352078239609,4.82640586797066,0.8922538341853745,0.012169370971326865,0.9509803921568628,4.757352941176471,0.8900958110516934,0.0211652213815298
tempscale_global_cp,2.0,convnext_tiny,0.05,0.9584352078239609,4.623471882640587,0.8968659702156034,0.016781507001555784,0.9509803921568628,4.552696078431373,0.8947471033868093,0.0236645585094669
tempscale_global_cp,3.0,convnext_tiny,0.05,0.9584352078239609,4.7799511002444985,0.8933096243609691,0.013225161146921405,0.9509803921568628,4.707107843137255,0.8912377450980393,0.0218410444416325
tempscale_global_cp,4.0,convnext_tiny,0.05,0.960880195599022,4.657701711491443,0.8973105134474328,0.017226050233385193,0.9509803921568628,4.607843137254902,0.89349376114082,0.0218410444416325
