method,nbins_ts,model,alpha,p_threshold,cal_cov,cal_avg_size,cal_std_size,test_cov,test_avg_size,test_std_size,cal_score,test_score
global_cp,,resnet50,0.01,1.850084572652122e-06,0.991421568627451,13.224264705882351,7.812995274809825,0.9926650366748166,13.17114914425428,7.648532404385613,0.7178865864527629,0.7197154923316292
global_cp,,convnext_tiny,0.01,3.165208181599155e-05,0.991421568627451,10.028186274509803,6.225058377106842,0.982885085574572,9.816625916870416,6.065259265704065,0.7905247326203209,0.7910646810402311
global_cp,,densenet121,0.01,7.837747398298234e-05,0.991421568627451,12.196078431372548,7.145347059620683,0.9755501222493888,12.029339853300732,7.140338309967202,0.7412544563279858,0.7371082462769505
global_cp,,efficientnet_b0,0.01,1.3121717529429588e-05,0.991421568627451,10.26593137254902,6.655713251491687,0.9902200488997556,9.987775061124694,6.330160236198224,0.7851214349376114,0.7908424094243165
global_cp,,mobilenet_v3_large,0.01,2.045957080554217e-05,0.991421568627451,9.723039215686274,6.17370307413144,0.982885085574572,9.67237163814181,6.131743546526559,0.7974598930481284,0.7943431873749721
global_cp,,resnet50,0.02,4.974508192390204e-05,0.9816176470588236,9.375,7.024693517756123,0.9779951100244498,8.93643031784841,6.645864700570894,0.8004679144385027,0.8086241386974884
global_cp,,convnext_tiny,0.02,0.000188805614016,0.9803921568627452,7.232843137254902,5.203557042483755,0.9706601466992664,7.083129584352078,4.961413261787932,0.8485405525846703,0.8470771282507223
global_cp,,densenet121,0.02,0.0001740379084367,0.9803921568627452,10.661764705882351,6.876709787063068,0.9755501222493888,10.496332518337407,6.889222276529845,0.7706105169340465,0.7719493220715714
global_cp,,efficientnet_b0,0.02,7.748856296529993e-05,0.9816176470588236,7.779411764705882,5.60524448962969,0.982885085574572,7.400977995110025,5.267417328795116,0.83673128342246,0.845965770171149
global_cp,,mobilenet_v3_large,0.02,4.119663935853168e-05,0.9803921568627452,8.83578431372549,5.828215176607105,0.9779951100244498,8.76039119804401,5.822648127711138,0.8121100713012478,0.812625027783952
global_cp,,resnet50,0.03,0.0002092672657454,0.9705882352941176,7.556372549019608,6.107765032859381,0.9731051344743276,7.051344743276284,5.697849990194787,0.8362856506238859,0.8490220048899755
global_cp,,convnext_tiny,0.03,0.0003787370806094,0.9705882352941176,6.182598039215686,4.630890265699804,0.9633251833740832,6.205378973105135,4.471792904422899,0.867507798573975,0.8633585241164704
global_cp,,densenet121,0.03,0.0003840898862107,0.971813725490196,9.10906862745098,6.4465040596903,0.9682151589242054,8.853300733496333,6.410239595872729,0.8016098484848484,0.8056234718826406
global_cp,,efficientnet_b0,0.03,0.000280576670775,0.971813725490196,6.082107843137255,4.6266099866666615,0.9657701711491442,5.7799511002444985,4.371867393621046,0.8704044117647058,0.874249833296288
global_cp,,mobilenet_v3_large,0.03,0.0001282478042412,0.9705882352941176,7.492647058823529,5.203108542588221,0.9706601466992664,7.393643031784841,5.198421581681196,0.8377339572192514,0.8400200044454322
global_cp,,resnet50,0.04,0.0009035485563798,0.9620098039215688,5.748774509803922,4.9288805551571135,0.9462102689486552,5.386308068459658,4.575875391762722,0.8730782085561497,0.8734163147366081
global_cp,,convnext_tiny,0.04,0.0004860225017182,0.9607843137254902,5.824754901960785,4.396867254949216,0.960880195599022,5.880195599022005,4.306609598762936,0.8707386363636365,0.8695265614581018
global_cp,,densenet121,0.04,0.000650756934192,0.9607843137254902,8.112745098039216,5.977013991858447,0.960880195599022,7.938875305623472,6.074591869337482,0.8187388591800356,0.8227383863080684
global_cp,,efficientnet_b0,0.04,0.0004695309326051,0.9620098039215688,5.455882352941177,4.246747115262317,0.9657701711491442,5.154034229828851,3.959753360412241,0.8797348484848485,0.8884752167148255
global_cp,,mobilenet_v3_large,0.04,0.000249114789767,0.9620098039215688,6.639705882352941,4.802105050862969,0.9633251833740832,6.569682151589242,4.832047849342204,0.8528297682709448,0.8550789064236497
global_cp,,resnet50,0.05,0.0013980020303279,0.9509803921568628,5.258578431372549,4.562643721710504,0.9437652811735942,4.965770171149145,4.297605575473784,0.8787043226381462,0.8817515003334073
global_cp,,convnext_tiny,0.05,0.000746788457036,0.9509803921568628,5.268382352941177,4.044874703589381,0.9559902200488998,5.308068459657702,3.9373722743314903,0.8784815062388591,0.8800844632140477
global_cp,,densenet121,0.05,0.001284093945287,0.9522058823529412,6.859068627450981,5.275803418264173,0.9462102689486552,6.726161369193154,5.453306712568728,0.8429422905525847,0.8429651033563014
global_cp,,efficientnet_b0,0.05,0.0011795442551374,0.9509803921568628,4.477941176470588,3.537633422865116,0.9486552567237164,4.271393643031785,3.3117716756186675,0.8964460784313726,0.8999777728384085
global_cp,,mobilenet_v3_large,0.05,0.0004973612958565,0.9509803921568628,5.78921568627451,4.297201985661087,0.9535452322738386,5.816625916870415,4.320280192371923,0.866644385026738,0.8673038452989553
global_cp,,resnet50,0.06,0.0025149991270153,0.9411764705882352,4.6213235294117645,3.993244136903989,0.9339853300733496,4.3667481662591685,3.7615794343382,0.8882854278074865,0.8904756612580573
global_cp,,convnext_tiny,0.06,0.0015142360934986,0.9411764705882352,4.515931372549019,3.538013184117608,0.9511002444987776,4.530562347188264,3.370091918024156,0.8906807040998217,0.895310068904201
global_cp,,densenet121,0.06,0.002586574293673,0.9399509803921569,5.6838235294117645,4.5248362300416165,0.9242053789731052,5.471882640586797,4.578810598397463,0.8635249554367201,0.8604689931095799
global_cp,,efficientnet_b0,0.06,0.0023944058921188,0.9399509803921569,3.841911764705882,3.051019465072955,0.9364303178484108,3.689486552567237,2.8891127582431317,0.905386586452763,0.9070904645476772
global_cp,,mobilenet_v3_large,0.06,0.0008022098336367,0.9411764705882352,5.261029411764706,3.945860723989332,0.9486552567237164,5.286063569682152,3.999856174603984,0.8737466577540106,0.8769170926872638
